label|message
ham|Hello, how are you?
spam|Win a free iPhone now!
ham|Let's meet for lunch tomorrow.
spam|You have won $1000. Click here to claim.
ham|This is a normal email.
spam|Get rich quick with this simple trick!
ham|Can we reschedule our meeting?
spam|You have been selected for a prize!
ham|Just checking in to see how you're doing.
spam|Act now to get a special discount!
ham|Don't forget about our meeting next week.
spam|You are pre-approved for a loan!
ham|Can you send me the report by tomorrow?
spam|Exclusive offer just for you!
ham|Looking
